"MrpDate","Org","PlnrCd","Planner","ExCd","Exception","days","Item","Description","MakeBuy","xSignal","Buyer","SupplyType","xOrder","Quantity","DueDate","FromDate","ToDate","ExtCost","StdCst","Vendor","VendNum"
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-9","101202","CASE (MACHINED)","make","","Munoz, Eric","Discrete job","1967857","25","0000-00-00","0000-00-00","0000-00-00","9802.75","392.11","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-11","0101238-01","MOLDED STRAP ASSY","make","","","Discrete job","1963256","6","0000-00-00","0000-00-00","0000-00-00","526.80","87.8","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-28","0101238-01","MOLDED STRAP ASSY","make","","","Discrete job","1963257","6","0000-00-00","0000-00-00","0000-00-00","526.80","87.8","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-35","0101238-01","MOLDED STRAP ASSY","make","","","Discrete job","1963258","6","0000-00-00","0000-00-00","0000-00-00","526.80","87.8","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-34","0101238-01","MOLDED STRAP ASSY","make","","","Discrete job","1963260","6","0000-00-00","0000-00-00","0000-00-00","526.80","87.8","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-33","0101238-01","MOLDED STRAP ASSY","make","","","Discrete job","1963263","12","0000-00-00","0000-00-00","0000-00-00","1053.59","87.8","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-28","0101238-01","MOLDED STRAP ASSY","make","","","Discrete job","1963262","6","0000-00-00","0000-00-00","0000-00-00","526.80","87.8","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-29","0101238-01","MOLDED STRAP ASSY","make","","","Discrete job","1963261","6","0000-00-00","0000-00-00","0000-00-00","526.80","87.8","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-28","0101238-01","MOLDED STRAP ASSY","make","","","Discrete job","1963259","6","0000-00-00","0000-00-00","0000-00-00","526.80","87.8","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-7","0101239-02","MOLDED STRAP","make","","","Discrete job","1968873","25","0000-00-00","0000-00-00","0000-00-00","1494.60","59.78","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-20","0101244-113","CONTROL CASE ASSY (RH/LH SET)","buy","DCI","Chong, Suzanne","Purchase order","YA0819BP(8)","300","0000-00-00","0000-00-00","0000-00-00","7232.23","24.11","ALLOY DIE CASTING CO","5050145"
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-12","0101259-09","COVER, END (MACH)","buy","","Chong, Suzanne","Purchase order","SC0098","190","0000-00-00","0000-00-00","0000-00-00","6065.11","31.92","ALLOY DIE CASTING CO","5050145"
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-286","101260","SHAFT,CONTROL INNER","buy","DCI","Chong, Suzanne","Purchase order","CON2636EM","200","0000-00-00","0000-00-00","0000-00-00","3265.64","16.33","ALL TIME MACHINE INC","14001299"
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-21","101293","PIN","buy","LOT$","Chong, Suzanne","Purchase order","SC0070","100","0000-00-00","0000-00-00","0000-00-00","267.08","2.67","THUNDERBOLT MFG INC","14001913"
