MrpDate,Org,PlnrCd,Planner,ExCd,Exception,days,Item,Description,MakeBuy,xSignal,Buyer,SupplyType,xOrder,Quantity,DueDate,FromDate,ToDate,ExtCost,StdCst,Vendor,VendNum
42341,KIN,PLNR05,Acosta,6,Orders to be rescheduled in,-22,0101202-01,CASE (PAINTED),make,KB,"Munoz, Eric",Discrete job,1969868,16,,42440,42418,6711.68,419.48,,
42341,KIN,PLNR05,Acosta,6,Orders to be rescheduled in,-1,101207,SPRING CUP <,buy,LOT$,"Chong, Suzanne",Purchase requisition,274241,10,,42389,42388,1078.59,107.86,,
42341,KIN,PLNR05,Acosta,6,Orders to be rescheduled in,-11,0101238-01,MOLDED STRAP ASSY,make,,,Discrete job,1963256,6,,42461,42450,526.8,87.8,,
42341,KIN,PLNR05,Acosta,6,Orders to be rescheduled in,-28,0101238-01,MOLDED STRAP ASSY,make,,,Discrete job,1963257,6,,42489,42461,526.8,87.8,,
42341,KIN,PLNR05,Acosta,6,Orders to be rescheduled in,-28,0101238-01,MOLDED STRAP ASSY,make,,,Discrete job,1963259,6,,42552,42524,526.8,87.8,,
42341,KIN,PLNR05,Acosta,6,Orders to be rescheduled in,-35,0101238-01,MOLDED STRAP ASSY,make,,,Discrete job,1963258,6,,42524,42489,526.8,87.8,,
42341,KIN,PLNR05,Acosta,6,Orders to be rescheduled in,-34,0101238-01,MOLDED STRAP ASSY,make,,,Discrete job,1963260,6,,42586,42552,526.8,87.8,,
42341,KIN,PLNR05,Acosta,6,Orders to be rescheduled in,-28,0101238-01,MOLDED STRAP ASSY,make,,,Discrete job,1963262,6,,42643,42615,526.8,87.8,,
42341,KIN,PLNR05,Acosta,6,Orders to be rescheduled in,-33,0101238-01,MOLDED STRAP ASSY,make,,,Discrete job,1963263,12,,42676,42643,1053.59,87.8,,
42341,KIN,PLNR05,Acosta,6,Orders to be rescheduled in,-29,0101238-01,MOLDED STRAP ASSY,make,,,Discrete job,1963261,6,,42615,42586,526.8,87.8,,
42341,KIN,PLNR05,Acosta,6,Orders to be rescheduled in,-12,0101259-09,"COVER, END (MACH)",buy,,"Chong, Suzanne",Purchase order,SC0098,190,,42500,42488,6065.11,31.92,ALLOY DIE CASTING CO,5050145
42341,KIN,PLNR05,Acosta,6,Orders to be rescheduled in,-166,101260,"SHAFT,CONTROL INNER",buy,DCI,"Chong, Suzanne",Purchase order,CON2636EM,125,,42619,42453,2041.03,16.33,ALL TIME MACHINE INC,14001299
