Customer	Cust#	CustGrp	TradeIco	CivMil	Po#	Item#	Description	ItemType	Pl	SubPl	PlannerCode	Order#	Line#	Schd#	Order Date	SchDate	ReqDate	PromDate	CommitDate	PickSlip#	ShipDate	ShipQty	ExtPrice	ExtCost	Margin	Trx#	Trxdate	TrxYr	TrxQtr	TrxMo	TrxWk	Mrkt	QuoteOrRma	WAYBILL_NUM	MegMo	days	ot	LINE_ID	LINE_TYPE_CODE	ShipVia	DocumentNumber
SAMCO CO., LTD	10807		TRADE	CIVIL	SM1001PS003	42000819-1	ACTUATOR RRJ EPAS	FG	PRV	02P		248804	1	0	10/28/2014	10/17/2014	04/03/2015	04/03/2015	10/17/2014	375987	03/31/2015	1	$0.00	$0.00	$0.00	60249574	03/31/2015	2015	2	04	14	WTY	RPR106484	FEDEX	04	3	ONTIME	441640	REGULAR	FEDEX Intl Priority	248804-375987
SAMCO CO., LTD	10807		TRADE	CIVIL	SM1001PS005	41004658-1	GAS BOTTLE ASSEMBLY EMERGENCY PASSENGER ASSIST SYSTEM RUSSIAN REGIONAL JET	FG	PRV	02P		248805	1	0	12/11/2013	10/17/2014	04/03/2015	04/03/2015	10/17/2014	375986	03/31/2015	1	$0.00	$0.00	$0.00	60249575	03/31/2015	2015	2	04	14	WTY	RPR106482	FEDEX	04	3	ONTIME	441641	REGULAR	FEDEX Intl Priority	248805-375986
BOEING/MCDONNELL DOUGLAS CORP.	1449	BOEING	TRADE	MILITARY	530597	30903802-1	CARTRIDGE, AIRCRAFT FIRE EXTINGUISHER	P	FIR	01F	PLNR01	250241	6	6	04/12/2012	01/16/2015	01/26/2015	02/03/2015	02/23/2015	378954	01/26/2015	6	$1,872.00	$4,415.25	-$2,543.25	60247221	01/26/2015	2015	1	01	05	OEM		613757405913	01	0	ONTIME	455400	DETAIL	FEDEX P-1	250241-378954
BOEING COMMERCIAL_DU	1369	BOEING	TRADE	CIVIL	771493	FIR NRC	NON RECURRING CHARGE	SDS	FIR	01F	PLNR01	252774	4	0	09/17/2012	01/29/2016	01/29/2016	01/29/2016	12/20/2014	385712	05/23/2015	1	$57,900.00	$0.00	$57,900.00	60251589	05/23/2015	2015	2	05	22	OEM	SPB-767-2C	ok tp process per BGarcia 5/23	05	251	ONTIME	469204	REGULAR	Best Way	252774-385712
UNITED LAUNCH ALLIANCE	1443	LOCKHEED	TRADE	MILITARY	4500030446	60000011-2	VENT VALVE, HYDROGEN (FUEL)	FG	PRV	02P	PLNR04	253639	1	6	11/21/2012	02/09/2015	03/13/2015	02/23/2015	12/05/2014	379975	02/09/2015	1	$176,399.00	$106,579.25	$69,819.75	60247749	02/09/2015	2015	1	02	07	OEM		613757407765	02	32	ONTIME	475323	DETAIL	FEDEX P-1	253639-379975
UNITED LAUNCH ALLIANCE	1443	LOCKHEED	TRADE	MILITARY	4500030446	60000011-2	VENT VALVE, HYDROGEN (FUEL)	FG	PRV	02P	PLNR04	253639	1	8	11/21/2012	02/13/2015	03/31/2015	02/27/2015	03/31/2015	382162	03/26/2015	1	$176,399.00	$94,857.11	$81,541.89	60249359	03/26/2015	2015	1	03	13	OEM		632494300807	03	5	ONTIME	475325	DETAIL	FEDEX P-1	253639-382162
BOEING/MCDONNELL DOUGLAS CORP.	1449	BOEING	TRADE	MILITARY	530597	30903802-1	CARTRIDGE, AIRCRAFT FIRE EXTINGUISHER	P	FIR	01F	PLNR01	253693	1	1	11/27/2012	03/16/2015	03/25/2015	04/01/2015	03/24/2015	381988	03/25/2015	9	$2,907.00	$5,825.67	-$2,918.67	60249319	03/25/2015	2015	1	03	13	OEM		613757414436	03	0	ONTIME	475525	DETAIL	FEDEX P-1	253693-381988
BOEING/MCDONNELL DOUGLAS CORP.	1449	BOEING	TRADE	MILITARY	530597	30903802-1	CARTRIDGE, AIRCRAFT FIRE EXTINGUISHER	P	FIR	01F	PLNR01	253693	1	2	11/27/2012	06/11/2015	06/22/2015	06/30/2015	06/22/2015	386581	06/20/2015	9	$2,907.00	$5,825.67	-$2,918.67	60252659	06/20/2015	2015	2	06	26	OEM		613757426245	06	2	ONTIME	475526	DETAIL	FEDEX P-1	253693-386581
BOEING/MCDONNELL DOUGLAS CORP.	1449	BOEING	TRADE	MILITARY	530597	30903802-1	CARTRIDGE, AIRCRAFT FIRE EXTINGUISHER	P	FIR	01F	PLNR01	253693	1	3	11/27/2012	09/15/2015	09/23/2015	10/01/2015	09/23/2015	392024	09/23/2015	9	$2,907.00	$5,825.67	-$2,918.67	60255818	09/23/2015	2015	3	09	39	OEM		613757439782	09	0	ONTIME	475527	DETAIL	FEDEX P-1	253693-392024
BOEING/MCDONNELL DOUGLAS CORP.	1449	BOEING	TRADE	MILITARY	530606	35240022	DISCHARGE OUTLET	SA	FIR	01X	PLNR03	253708	1	2	11/28/2012	01/06/2015	01/16/2015	01/20/2015		378607	01/16/2015	3	$2,100.00	$578.14	$1,521.86	60246948	01/16/2015	2015	1	01	03	OEM	QKB021111A	613757404262	01	0	ONTIME	475675	DETAIL	FEDEX 2-Day	253708-378607
BOEING/MCDONNELL DOUGLAS CORP.	1449	BOEING	TRADE	MILITARY	530606	35240022	DISCHARGE OUTLET	SA	FIR	01X	PLNR03	253708	1	3	11/28/2012	01/29/2015	02/06/2015	02/12/2015	02/06/2015	379722	02/06/2015	3	$2,100.00	$622.98	$1,477.02	60247704	02/06/2015	2015	1	02	06	OEM	QKB021111A	084329130250898	02	0	ONTIME	475676	DETAIL	FEDEX Ground	253708-379722
BOEING/MCDONNELL DOUGLAS CORP.	1449	BOEING	TRADE	MILITARY	530606	35240022	DISCHARGE OUTLET	SA	FIR	01X	PLNR03	253708	1	4	11/28/2012	02/24/2015	03/03/2015	03/10/2015	03/03/2015	380965	03/03/2015	3	$2,100.00	$622.98	$1,477.02	60248584	03/03/2015	2015	1	03	10	OEM	QKB021111A	613757411091	03	0	ONTIME	475677	DETAIL	FEDEX Ground	253708-380965
BOEING/MCDONNELL DOUGLAS CORP.	1449	BOEING	TRADE	MILITARY	530606	35240022	DISCHARGE OUTLET	SA	FIR	01X	PLNR03	253708	1	5	11/28/2012	03/20/2015	03/27/2015	04/03/2015	03/27/2015	382018	03/27/2015	3	$2,100.00	$555.69	$1,544.31	60249472	03/27/2015	2015	1	03	13	OEM	QKB021111A	613757414892	03	0	ONTIME	475678	DETAIL	FEDEX Ground	253708-382018
BOEING/MCDONNELL DOUGLAS CORP.	1449	BOEING	TRADE	MILITARY	530606	35240022	DISCHARGE OUTLET	SA	FIR	01X	PLNR03	253708	1	6	11/28/2012	04/15/2015	04/23/2015	04/29/2015		383567	04/23/2015	3	$2,100.00	$555.69	$1,544.31	60250437	04/23/2015	2015	2	04	17	OEM	QKB021111A	632494304504	04	0	ONTIME	475679	DETAIL	FEDEX Express3	253708-383567
BOEING/MCDONNELL DOUGLAS CORP.	1449	BOEING	TRADE	MILITARY	530606	35240022	DISCHARGE OUTLET	SA	FIR	01X	PLNR03	253708	1	7	11/28/2012	05/12/2015	05/20/2015	05/26/2015		385396	05/20/2015	3	$2,100.00	$555.69	$1,544.31	60251485	05/20/2015	2015	2	05	21	OEM	QKB021111A	613757422147	05	0	ONTIME	475680	DETAIL	FEDEX Ground	253708-385396
BOEING/MCDONNELL DOUGLAS CORP.	1449	BOEING	TRADE	MILITARY	530606	35240022	DISCHARGE OUTLET	SA	FIR	01X	PLNR03	253708	1	8	11/28/2012	06/04/2015	06/11/2015	06/18/2015	06/11/2015	385936	06/11/2015	3	$2,100.00	$555.69	$1,544.31	60252358	06/11/2015	2015	2	06	24	OEM	QKB021111A	632494311561	06	0	ONTIME	475681	DETAIL	FEDEX Ground	253708-385936
BOEING/MCDONNELL DOUGLAS CORP.	1449	BOEING	TRADE	MILITARY	530606	35240022	DISCHARGE OUTLET	SA	FIR	01X	PLNR03	253708	1	9	11/28/2012	06/30/2015	07/07/2015	07/14/2015	07/07/2015	387281	07/07/2015	3	$2,100.00	$555.69	$1,544.31	60253184	07/07/2015	2015	3	07	28	OEM	QKB021111A	613757428215	07	0	ONTIME	475682	DETAIL	FEDEX Ground	253708-387281
BOEING/MCDONNELL DOUGLAS CORP.	1449	BOEING	TRADE	MILITARY	530606	35240022	DISCHARGE OUTLET	SA	FIR	01X	PLNR03	253708	1	10	11/28/2012	07/23/2015	07/30/2015	08/06/2015	07/30/2015	388882	07/28/2015	3	$2,100.00	$555.69	$1,544.31	60253902	07/28/2015	2015	3	07	31	OEM	QKB021111A	613757430590	07	2	ONTIME	475683	DETAIL	FEDEX 2-Day	253708-388882
BOEING/MCDONNELL DOUGLAS CORP.	1449	BOEING	TRADE	MILITARY	530606	35240022	DISCHARGE OUTLET	SA	FIR	01X	PLNR03	253708	1	11	11/28/2012	08/18/2015	08/25/2015	09/01/2015	08/25/2015	390699	08/22/2015	3	$2,100.00	$555.69	$1,544.31	60254764	08/22/2015	2015	3	08	35	OEM	QKB021111A	613757434254	08	3	ONTIME	475684	DETAIL	FEDEX Express3	253708-390699
BOEING/MCDONNELL DOUGLAS CORP.	1449	BOEING	TRADE	MILITARY	530606	35240022	DISCHARGE OUTLET	SA	FIR	01X	PLNR03	253708	1	12	11/28/2012	09/10/2015	09/17/2015	09/24/2015	09/17/2015	391375	09/17/2015	1	$700.00	$185.23	$514.77	60255536	09/17/2015	2015	3	09	38	OEM	QKB021111A	613757438330	09	0	ONTIME	475685	DETAIL	FEDEX Ground	253708-391375
BOEING/MCDONNELL DOUGLAS CORP.	1449	BOEING	TRADE	MILITARY	530606	35240022	DISCHARGE OUTLET	SA	FIR	01X	PLNR03	253708	1	12	11/28/2012	09/10/2015	09/17/2015	09/24/2015	09/17/2015	391375	09/17/2015	2	$1,400.00	$370.46	$1,029.54	60255536	09/17/2015	2015	3	09	38	OEM	QKB021111A	613757438330	09	0	ONTIME	475685	DETAIL	FEDEX Ground	253708-391375
BOEING/MCDONNELL DOUGLAS CORP.	1449	BOEING	TRADE	MILITARY	530606	33874500A	FIREX 224-3(7409)F-15	FG	FIR	01F	PLNR01	253753	1	1	11/30/2012	01/19/2015	01/30/2015	02/03/2015	10/15/2014	379580	01/30/2015	1	$2,378.00	$1,379.03	$998.97	60247555	01/30/2015	2015	1	01	05	OEM	QKB021111A	580951072635	01	0	ONTIME	475877	DETAIL	FEDEX Std Overnight	253753-379580
BOEING/MCDONNELL DOUGLAS CORP.	1449	BOEING	TRADE	MILITARY	530606	33874500A	FIREX 224-3(7409)F-15	FG	FIR	01F	PLNR01	253753	1	2	11/30/2012	02/09/2015	02/21/2015	02/23/2015	11/13/2014	380620	02/21/2015	1	$2,378.00	$1,379.03	$998.97	60248173	02/21/2015	2015	1	02	09	OEM	QKB021111A	632494295458	02	0	ONTIME	475878	DETAIL	FEDEX Std Overnight	253753-380620
BOEING/MCDONNELL DOUGLAS CORP.	1449	BOEING	TRADE	MILITARY	530606	33874500A	FIREX 224-3(7409)F-15	FG	FIR	01F	PLNR01	253753	1	3	11/30/2012	03/16/2015	04/02/2015	03/27/2015	04/01/2015	382331	03/25/2015	1	$2,378.00	$1,379.05	$998.95	60249320	03/25/2015	2015	1	03	13	OEM	QKB021111A	632494300314	03	8	ONTIME	475879	DETAIL	FEDEX Std Overnight	253753-382331
BOEING/MCDONNELL DOUGLAS CORP.	1449	BOEING	TRADE	MILITARY	530606	33874500A	FIREX 224-3(7409)F-15	FG	FIR	01F	PLNR01	253753	1	3	11/30/2012	03/16/2015	04/02/2015	03/27/2015	04/01/2015	382771	04/02/2015	1	$2,378.00	$1,379.05	$998.95	60249687	04/02/2015	2015	2	04	14	OEM	QKB021111A	613757415763	04	0	ONTIME	475879	DETAIL	FEDEX Ground	253753-382771
