ID,Order#,ShipDate,ExtPrice
1,248804,2015-03-31,0
2,248805,2015-03-31,0
3,250241,2015-01-26,1872
4,252774,2015-05-23,57900
5,253639,2015-02-09,176399
6,253639,2015-03-26,176399
7,253693,2015-03-25,2907
8,253693,2015-06-20,2907
9,253693,2015-09-23,2907
10,253708,2015-01-16,2100
11,253708,2015-02-06,2100
12,253708,2015-03-03,2100
13,253708,2015-03-27,2100
14,253708,2015-04-23,2100
15,253708,2015-05-20,2100
16,253708,2015-06-11,2100
17,253708,2015-07-07,2100
18,253708,2015-07-28,2100
19,253708,2015-08-22,2100
20,253708,2015-09-17,700
21,253708,2015-09-17,1400
22,253753,2015-01-30,2378
23,253753,2015-02-21,2378
24,253753,2015-03-25,2378
25,253753,2015-04-02,2378
26,255250,2015-08-14,0
27,255596,2015-02-13,8957
28,256066,2015-06-04,0
29,256094,2015-01-23,1729.37
30,256094,2015-01-27,1729.37
31,256094,2015-02-09,1729.37
32,256094,2015-02-27,1729.37
33,256094,2015-03-10,1729.37
34,256094,2015-03-24,1729.37
35,256094,2015-03-25,1729.37
36,256094,2015-04-08,1729.37
37,256112,2015-03-17,1442.77
38,256378,2015-01-17,507.2
39,256378,2015-03-19,507.2
40,256517,2015-02-16,6800
41,256525,2015-03-26,1729.37
42,256525,2015-04-14,3458.74
43,256525,2015-04-27,1729.37
44,256525,2015-04-30,3458.74
45,256525,2015-05-11,3458.74
46,256525,2015-05-18,3458.74
47,256525,2015-05-28,3458.74
48,256525,2015-06-08,3458.74
49,256525,2015-06-11,5188.11
50,256525,2015-06-30,5188.11
51,256525,2015-08-07,5188.11
52,256981,2015-04-09,6000
53,257055,2015-02-04,19008
54,257082,2015-05-11,0
55,257359,2015-02-12,924.7
56,257359,2015-03-27,1056.8
57,257359,2015-06-22,1056.8
58,257359,2015-01-16,1389.6
59,257359,2015-02-24,1389.6
60,257359,2015-03-19,1389.6
61,257359,2015-04-20,1389.6
62,257359,2015-06-22,1389.6
63,257359,2015-08-07,1389.6
64,257359,2015-08-26,2084.4
65,257373,2015-01-15,0
66,257373,2015-01-07,0
67,257373,2015-01-28,0
68,257438,2015-05-29,3854.4
69,256166,2015-02-10,0
70,257530,2015-04-24,7500
71,257530,2015-04-24,7500
72,257530,2015-04-24,7500
73,257858,2015-01-30,24733
74,257858,2015-02-23,24733
75,257858,2015-02-23,24446
76,257858,2015-03-17,25269
77,257858,2015-05-29,25269
78,257858,2015-05-20,24975
79,258016,2015-01-20,0
80,258039,2015-04-28,10000
81,258106,2015-01-30,7020
82,258106,2015-02-25,4680
83,258106,2015-03-13,8580
84,258106,2015-04-15,6240
85,258106,2015-05-05,4680
86,258131,2015-10-03,0
